DISCIPLINA;RECORDMAN;PAÍS;MARCA;LUGAR;FECHA;Sexo
100 metros;Florence Griffith-Joyner;USA;10,49s;Indianapolis;16-jul-88;Femenino
200 metros;Florence Griffith-Joyner;USA;21,34s;Seúl;29-sep-88;Femenino
400 metros;Marita Koch;DRA;47,60s;Canberra;6-oct-85;Femenino
800 metros;Jarmila Kratochvílová;TCH;1m 53,28s;Múnich;26-jul-83;Femenino
1.500 metros;Genzebe Dibaba;ETH;3m 50,07s;Mónaco;17-jul-15;Femenino
5.000 metros;Tirunesh Dibaba;ETH;14m 11,15s;Oslo;6-jun-08;Femenino
10.000 metros;Junxia Wang;CHN;29m 31,78s;Pekín;8-sep-93;Femenino
Maratón;Paula Radcliffe;GBR;2h 15m 25s;Londres;13-abr-03;Femenino
3.000 obstáculos;Gulnara Galkina;RUS;8m 58,81s;Pekín;17-ago-08;Femenino
100 metros vallas;Yordanka Donkova;BUL;12,21s;Stara Zagora;20-ago-88;Femenino
400 metros vallas;Yuliya Pechenkina;RUS;52,34s;Tula;8-ago-03;Femenino
Salto de altura;Stefka Kostadinova;BUL;2.09m;Roma;30-ago-87;Femenino
Salto con pértiga;Elena Isinbaeva;RUS;5.06m;Zúrich;28-ago-09;Femenino
Salto de longitud;Galina Chistyakova;URS;7.52m;Leningrado;11-jun-88;Femenino
Triple salto;Inessa Kravets;UKR;15.50m;Gotemburgo;10-ago-95;Femenino
Lanzamiento de peso;Natalya Lisovskaya;URS;22.63m;Moscú;7-jun-87;Femenino
Lanzamiento de disco;Gabriele Reinsch;DRA;76.80m;Neubrandenburg;9-jul-88;Femenino
Lanzamiento de martillo;Anita Wlodarczyk;POL;81.08m;Cetniewo;1-ago-15;Femenino
Lanzamiento de jabalina;Barbora Špotáková;CZE;72.28m;Stuttgart;13-sep-08;Femenino
Heptatlón;Jackie Joyner-Kersee;USA;7291;Seúl;24-sep-88;Femenino
20 Kilometros marcha;Hong Liu;CHN;1h 24m 38s;La Coruña;6-jun-15;Femenino
4x100 metros relevos;Estados Unidos;USA;40,82s;Londres;10-ago-12;Femenino
4x400 metros relevos;URSS;URS;3m 15,17s;Seúl;1-oct-88;Femenino
100 metros;Usain Bolt;JAM;9,58s;Berlín;16-ago-09;Masculino
200 metros;Usain Bolt;JAM;19,19s;Berlín;20-ago-09;Masculino
400 metros;Michael Johnson;USA;43,18s;Sevilla;26-ago-99;Masculino
800 metros;David Lekuta Rudisha;KEN;1m 40,91s;Londres;9-ago-12;Masculino
1.500 metros;Hicham El Guerrouj;MAR;3m 26,00s;Roma;14-jul-98;Masculino
5.000 metros;Kenenisa Bekele;ETH;12m 37,35s;Hengelo;31-may-04;Masculino
10.000 metros;Kenenisa Bekele;ETH;26m 17,53s;Bruselas;26-ago-05;Masculino
Maratón;Dennis Kipruto Kimetto;KEN;2h 02m 57s;Berlín;28-sep-14;Masculino
3.000 obstáculos;Saif Saaeed Shaheen;QAT;7m 53,63s;Bruselas;3-sep-04;Masculino
110 metros vallas;Aries Merritt;USA;12,80s;Bruselas;7-sep-12;Masculino
400 metros vallas;Kevin Young;USA;46,78s;Barcelona;6-ago-92;Masculino
Salto de altura;Javier Sotomayor;CUB;2.45m;Salamanca;27-jul-93;Masculino
Salto con pértiga;Renaud Lavillenie;FRA;6.16 m;Donetsk;15-feb-14;Masculino
Salto de longitud;Mike Powell;USA;8.95 m;Tokio;30-ago-91;Masculino
Triple salto;Jonathan Edwards;GBR;18.29 m;Gotemburgo;7-ago-95;Masculino
Lanzamiento de peso;Randy Barnes;USA;23.12 m;Los Angeles, CA;20-may-90;Masculino
Lanzamiento de disco;Jürgen Schult;RDA;74.08 m;Neubrandenburg;6-jun-86;Masculino
Lanzamiento de martillo;Yuriy Sedykh;URS;86.74 m;Stuttgart;30-ago-86;Masculino
Lanzamiento de jabalina;Jan Zelezný;CZE;98.48 m;Jena;25-may-96;Masculino
Decatlón;Ashton Eaton;USA;9045;Pekín;29-ago-15;Masculino
20 Kilometros marcha;Yusuke Suzuki;JPN;1h 16m 36s;Nomi, JPN;15-mar-15;Masculino
50 Kilometros marcha;Yohann Diniz;FRA;3h 32m 33s;Zúrich;15-ago-14;Masculino
4x100 metros relevos;Jamaica;JAM;36,84s;Londres;11-ago-12;Masculino
4x400 metros relevos;Estados Unidos;USA;2m 54,29s;Stuttgart;22-ago-93;Masculino
